wards	total
1	5345
2	11356
3	8292
4	4877
5	7672
6	10431
7	8175
8	8592
9	7789
10	5450
11	4137
12	3560
13	3806
14	4205
15	8299
16	8599
17	10305
18	4972
19	2549
20	9606
21	9571
22	3558
23	3645
24	13257
25	4271
26	4659
27	10789
28	15568
29	7320
30	4253
31	4298
32	4717
33	2876
34	8677
35	3777
36	3020
37	8251
38	3385
39	2786
40	3093
41	3490
42	13369
43	3898
44	4970
45	3226
46	4033
47	3123
48	2731
49	4027
50	3145
