wards	total
1	6656
2	12661
3	9300
4	6019
5	8638
6	11573
7	9858
8	9601
9	8982
10	6556
11	4935
12	4369
13	4642
14	5382
15	10943
16	10502
17	12215
18	6214
19	2994
20	11922
21	10432
22	4238
23	4222
24	13254
25	4772
26	6005
27	11587
28	15601
29	8919
30	5013
31	4965
32	5997
33	3659
34	10243
35	4607
36	3676
37	9533
38	3823
39	3293
40	3404
41	3589
42	13546
43	4440
44	5212
45	3423
46	4449
47	3600
48	3394
49	4747
50	3591
