wards	total
1	8682
2	17691
3	16172
4	9507
5	11190
6	14483
7	11583
8	11800
9	11221
10	7293
11	6555
12	5506
13	5531
14	6274
15	12589
16	13756
17	14950
18	7707
19	4191
20	15906
21	13579
22	4965
23	6176
24	17092
25	6084
26	8360
27	17581
28	20580
29	10062
30	6422
31	6265
32	6994
33	4684
34	13238
35	6090
36	4466
37	12232
38	4856
39	4087
40	4915
41	4136
42	14852
43	5180
44	5268
45	4408
46	6555
47	4939
48	5139
49	6883
50	4817
