wards	total
1	8106
2	16249
3	12855
4	8816
5	10421
6	14575
7	12036
8	12500
9	11358
10	7360
11	5686
12	5373
13	5587
14	6027
15	12883
16	12861
17	15446
18	7896
19	3844
20	15338
21	13818
22	5200
23	6275
24	16123
25	5830
26	7293
27	15308
28	19566
29	10251
30	6115
31	6056
32	7631
33	4064
34	13600
35	5549
36	4439
37	12081
38	4513
39	4046
40	4600
41	4535
42	14699
43	5647
44	5412
45	4146
46	5845
47	4292
48	4159
49	6217
50	4190
