wards	total
1	8286
2	15794
3	13188
4	7479
5	9978
6	14411
7	11591
8	11983
9	10544
10	7149
11	5792
12	5106
13	5815
14	6001
15	12865
16	12410
17	15075
18	7806
19	3956
20	14195
21	13127
22	5085
23	5731
24	15546
25	5533
26	6974
27	14472
28	18906
29	9830
30	6203
31	6001
32	7776
33	4204
34	12478
35	5466
36	4736
37	12034
38	4758
39	4306
40	4529
41	4585
42	15113
43	5529
44	5638
45	4587
46	5520
47	4295
48	4076
49	5912
50	4390
