wards	total
1	7261
2	13365
3	9603
4	6394
5	9072
6	12319
7	9721
8	9872
9	9175
10	6427
11	5003
12	4511
13	4624
14	5322
15	11346
16	10952
17	12761
18	6665
19	3366
20	12668
21	11171
22	4377
23	4286
24	14185
25	4852
26	6730
27	12973
28	16886
29	8929
30	5402
31	5500
32	6579
33	4098
34	10711
35	5156
36	4092
37	10354
38	4015
39	3687
40	3781
41	3506
42	13439
43	4679
44	5155
45	3675
46	4616
47	3879
48	3596
49	5134
50	3962
