wards	total
1	8312
2	16902
3	15479
4	8251
5	10647
6	14327
7	12156
8	12103
9	10823
10	7734
11	6465
12	5565
13	5997
14	6204
15	13168
16	13413
17	14645
18	8026
19	3823
20	15730
21	13195
22	5010
23	6360
24	16618
25	6040
26	8087
27	16292
28	21561
29	9937
30	6163
31	6208
32	7319
33	4621
34	13410
35	6030
36	4387
37	11518
38	4532
39	4230
40	4997
41	4622
42	14816
43	5332
44	5181
45	4443
46	6138
47	4912
48	4652
49	6489
50	4966
