wards	total
1	7721
2	13638
3	10830
4	6576
5	9220
6	12875
7	10981
8	10455
9	9930
10	6883
11	5412
12	4474
13	5305
14	5636
15	11402
16	11263
17	13442
18	7018
19	3555
20	13558
21	12165
22	4566
23	5329
24	13879
25	4995
26	6932
27	13769
28	17703
29	9433
30	6027
31	5974
32	7080
33	4022
34	11835
35	5289
36	4728
37	11500
38	4516
39	3886
40	4055
41	4009
42	14091
43	4870
44	5292
45	4088
46	4736
47	4173
48	3594
49	5420
50	4198
