wards	total
1	9592
2	19011
3	17178
4	9479
5	11225
6	14707
7	12013
8	12266
9	11516
10	7915
11	6755
12	5759
13	5980
14	6044
15	12983
16	13847
17	14990
18	7484
19	4182
20	16226
21	13870
22	5211
23	6699
24	17611
25	6594
26	8885
27	17811
28	20858
29	10629
30	6688
31	6609
32	8030
33	4491
34	13435
35	6962
36	4590
37	12413
38	4818
39	3977
40	4818
41	4198
42	16191
43	5758
44	5932
45	4544
46	6606
47	5067
48	5043
49	6942
50	4753
